classe;baseline_2018;central_2018;adverse_2018;baseline_2019;central_2019;adverse_2019;baseline_2020;central_2020;adverse_2020
1;0.000713588;0.000727683;0.000756172;0.000695029;0.000780833;0.000931369;0.000700249;0.000903975;0.001242949
2;0.001404056;0.001430271;0.001483169;0.001369492;0.001528864;0.00180606;0.001379219;0.001755827;0.002371765
3;0.003058524;0.003111612;0.003218514;0.002988414;0.003310626;0.003865133;0.003008157;0.003765159;0.004977401
4;0.005778648;0.005872368;0.006060747;0.005654701;0.006222705;0.007191157;0.005689625;0.007017339;0.009104614
5;0.008663073;0.008796982;0.009065811;0.008485804;0.009296592;0.010670355;0.008535773;0.010424541;0.013357137
6;0.0156994;0.015923595;0.016372817;0.015402161;0.016757562;0.019031722;0.015486;0.018626734;0.023409346
7;0.036999743;0.037459635;0.0383783;0.036388536;0.039162175;0.043743467;0.036561104;0.042933861;0.052340508
8;0.07864736;0.079481093;0.081141325;0.077536569;0.082552576;0.09070633;0.077850509;0.089276681;0.105616186
9;0.15425059;0.155598449;0.158273557;0.152450104;0.160538295;0.173464867;0.152959521;0.171217301;0.196461885
10;0.403389024;0.405581337;0.409904244;0.400445437;0.413535147;0.433773985;0.401280035;0.430312587;0.467904005
