Date;gdp_baseline;IRLT_baseline;DR_baseline;gdp_central;IRLT_central;DR_central;gdp_adverse;IRLT_adverse;DR_adverse
2011-Q2;405749,1;5,493166667;0,046275987;405749,1;5,493166667;0,046275987;405749,1;5,493166667;0,046275987
2011-Q3;401901,7;6,613666667;0,043272945;401901,7;6,613666667;0,043272945;401901,7;6,613666667;0,043272945
2011-Q4;397538,2;5,710466667;0,042068114;397538,2;5,710466667;0,042068114;397538,2;5,710466667;0,042068114
2012-Q1;394602,6;5,7876;0,043163148;394602,6;5,7876;0,043163148;394602,6;5,7876;0,043163148
2012-Q2;392558;5,690666667;0,041493204;392558;5,690666667;0,041493204;392558;5,690666667;0,041493204
2012-Q3;389605,7;4,781966667;0,043665278;389605,7;4,781966667;0,043665278;389605,7;4,781966667;0,043665278
2012-Q4;385971,6;4,447;0,046493781;385971,6;4,447;0,046493781;385971,6;4,447;0,046493781
2013-Q1;386047,1;4,206966667;0,045573757;386047,1;4,206966667;0,045573757;386047,1;4,206966667;0,045573757
2013-Q2;386936,7;4,4595;0,046433162;386936,7;4,4595;0,046433162;386936,7;4,4595;0,046433162
2013-Q3;386080,5;4,152233333;0,048292042;386080,5;4,152233333;0,048292042;386080,5;4,152233333;0,048292042
2013-Q4;386690,8;3,638866667;0,050125664;386690,8;3,638866667;0,050125664;386690,8;3,638866667;0,050125664
2014-Q1;386567,4;3,090433333;0,048606672;386567,4;3,090433333;0,048606672;386567,4;3,090433333;0,048606672
2014-Q2;386964,6;2,608766667;0,046575361;386964,6;2,608766667;0,046575361;386964,6;2,608766667;0,046575361
2014-Q3;385925,6;2,234733333;0,04595221;385925,6;2,234733333;0,04595221;385925,6;2,234733333;0,04595221
2014-Q4;386946,4;1,5177;0,043271509;386946,4;1,5177;0,043271509;386946,4;1,5177;0,043271509
2015-Q1;388479,7;1,789466667;0,041397817;388479,7;1,789466667;0,041397817;388479,7;1,789466667;0,041397817
2015-Q2;389412,4;1,9337;0,039149332;389412,4;1,9337;0,039149332;389412,4;1,9337;0,039149332
2015-Q3;391470,2;1,614933333;0,039288432;391470,2;1,614933333;0,039288432;391470,2;1,614933333;0,039288432
2015-Q4;392537,3;1,489;0,037918879;392537,3;1,489;0,037918879;392537,3;1,489;0,037918879
2016-Q1;393344,5;1,473866667;0,035308533;393344,5;1,473866667;0,035308533;393344,5;1,473866667;0,035308533
2016-Q2;395573,6;1,2232;0,034543564;395573,6;1,2232;0,034543564;395573,6;1,2232;0,034543564
2016-Q3;396707,1;1,759666667;0,032696899;396707,1;1,759666667;0,032696899;396707,1;1,759666667;0,032696899
2016-Q4;398847;2,248033333;0,030896372;398847;2,248033333;0,030896372;398847;2,248033333;0,030896372
2017-Q1;400491,5;2,168;0,031524177;400491,5;2,168;0,031524177;400491,5;2,168;0,031524177
2017-Q2;401926,7;2,150133333;0,030579297;401926,7;2,150133333;0,030579297;401926,7;2,150133333;0,030579297
2017-Q3;404279;1,885533333;0,02950526;404279;1,885533333;0,02950526;404279;1,885533333;0,02950526
2017-Q4;404115,6;2,010166667;0,028716044;404115,6;2,010166667;0,028716044;404115,6;2,010166667;0,028716044
2018-Q1;405522,639;2,1;0,027376761;404619,8001;2,5;0,027376761;403508,0579;3,3;0,027376761
2018-Q2;406934,5771;2,1;0,02698348;405124,6293;2,5;0,02698348;402901,4292;3,3;0,02698348
2018-Q3;408351,4312;2,1;0,02597366;405630,0883;2,5;0,026709326;402295,7125;3,3;0,02818066
2018-Q4;409773,2184;2,1;0,026576972;406136,178;2,5;0,027247838;401690,9064;3,3;0,028589569
2019-Q1;411098,5378;2,5;0,026277663;406207,2332;2,7;0,02756293;400176,0174;3,7;0,029615806
2019-Q2;412428,1437;2,5;0,025791187;406278,3008;2,7;0,02789035;398666,8415;3,7;0,031092375
2019-Q3;413762,0499;2,5;0,026628689;406349,3808;2,7;0,028832932;397163,3571;3,7;0,032905531
2019-Q4;415100,2702;2,5;0,02634581;406420,4733;2,7;0,029248129;395665,5428;3,7;0,034032774
2020-Q1;416442,8188;2,8;0,026096099;407331,8492;2,96;0,029955475;395070,7044;4;0,03589292
2020-Q2;417789,7095;2,8;0,026315881;408245,2689;2,96;0,030809912;394476,7603;4;0,03769953
2020-Q3;419140,9565;2,8;0,026683457;409160,7368;2,96;0,031887732;393883,7091;4;0,039661018
2020-Q4;420496,5738;2,8;0,026474977;410078,2576;2,96;0,03249187;393291,5496;4;0,041143235
